index,arcticposition,arcticperimeter,arcticarea1,arcticarea2,arcticarea3,medposition,medperimeter,medarea1,medarea2,medarea3
30,11.306505,1564.34121389325,331.711591131427,1713.298,2420.245,9.045204,763.478215945864,155.523720672808,898.842,1799.971
31,11.6833885,1654.05235417082,336.898934753765,1774.64,2436.931,9.3467108,809.911878317791,166.023404149349,910.913,1789.344
32,12.060272,1770.15766834033,349.881497926869,1806.033,2453.052,9.6482176,842.643432563538,170.301684267225,946.572,1798.488
33,12.4371555,1917.2076847832,361.665233603463,1847.321,2469.919,9.9497244,870.537787722218,180.346835991534,975.725,1804.128
34,12.814039,2039.49648792927,375.153463350924,1873.786,2484.523,10.2512312,946.531668388058,186.380745002404,1035.194,1809.838
35,13.1909225,2166.5419796232,389.135996378936,1918.239,2501.018,10.552738,995.998688215237,195.028211588602,1103.23,1821.608
36,13.567806,2332.87587936462,403.999184676896,1956.972,2521.287,10.8542448,1048.89829552088,202.851839373882,1142.861,1832.485
37,13.9446895,2514.76302149457,420.419144226249,1994.217,2539.963,11.1557516,1105.79898617789,213.459474141577,1172.247,1841.192
38,14.321573,2670.25836631469,435.628912985285,2035.951,2553.767,11.4572584,1150.87402976839,220.464944772841,1186.297,1854.179
39,14.6984565,2851.36036170232,456.889635695899,2076.299,2571.886,11.7587652,1173.18033380774,221.737633679088,1208.354,1865.841
40,15.07534,3028.56473450806,473.565269355882,2092.275,2592.196,12.060272,1218.55948378233,230.737362373266,1243.337,1874.753
41,15.4522235,3214.34819942407,494.041924793897,2158.753,2611.051,12.3617788,1243.13206497282,234.589518973425,1265.708,1883.673
42,15.829107,3395.4110163171,509.035790970624,2197.928,2635.894,12.6632856,1297.45923411735,242.799498748101,1296.871,1898.707
43,16.2059905,3578.97052054628,528.637472785594,2233.19,2657.324,12.9647924,1353.46168032132,251.168564636058,1334.778,1915.742
44,16.582874,3819.71944732905,554.312835139754,2249.071,2680.473,13.2662992,1388.5895990959,260.253518033779,1363.512,1927.221
45,16.9597575,3987.4359928685,570.840745980261,2291.551,2699.367,13.567806,1429.16162993746,261.656884818793,1382.081,1941.662
46,17.336641,4201.21413574296,594.328674276809,2338.952,2726.858,13.8693128,1487.81443183778,268.389636398718,1413.972,1957.021
47,17.7135245,4387.78512398342,606.99306522335,2376.218,2750.164,14.1708196,1527.56397562386,271.639538427171,1431.392,1970.359
48,18.090408,4664.10481580903,637.191018512211,2402.165,2781.038,14.4723264,1587.86143625149,281.122207108094,1455.211,1985.967
49,18.4672915,4862.40372789279,655.758640590855,2431.88,2806.074,14.7738332,1630.5855697547,281.86082120547,1479.881,2003.846
50,18.844175,5038.71635520948,669.479817861335,2429.691,2824.609,15.07534,1752.20026267823,328.063973819772,1508.246,2018.006
51,19.2210585,5536.93021574074,834.025993815932,2509.954,2846.871,15.3768468,1798.52602650762,334.080837889932,1533.285,2034.592
52,19.597942,5793.55608053965,858.786611018727,2544.892,2871.396,15.6783536,1843.03593519689,343.404420457575,1551.734,2048.834
